Category	Subcategory	Subsystem	Role	Features
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin synthesis protein bioH	fig|6666666.5373.peg.2819
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	fig|6666666.5373.peg.3183, fig|6666666.5373.peg.3182, fig|6666666.5373.peg.3184
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin operon repressor	fig|6666666.5373.peg.3726
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin synthesis protein bioC	fig|6666666.5373.peg.3188
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin-protein ligase (EC 6.3.4.15)	fig|6666666.5373.peg.3726
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	fig|6666666.5373.peg.2015, fig|6666666.5373.peg.3187, fig|6666666.5373.peg.3186
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Dethiobiotin synthetase (EC 6.3.3.3)	fig|6666666.5373.peg.3189
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin synthase (EC 2.8.1.6)	fig|6666666.5373.peg.3185
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	fig|6666666.5373.peg.6500, fig|6666666.5373.peg.1416, fig|6666666.5373.peg.4900, fig|6666666.5373.peg.7270, fig|6666666.5373.peg.7271, fig|6666666.5373.peg.6501, fig|6666666.5373.peg.4899, fig|6666666.5373.peg.4901
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	3-ketoacyl-CoA thiolase (EC 2.3.1.16)	fig|6666666.5373.peg.186, fig|6666666.5373.peg.7699, fig|6666666.5373.peg.7700, fig|6666666.5373.peg.187, fig|6666666.5373.peg.188
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Sulfur carrier protein adenylyltransferase ThiF	fig|6666666.5373.peg.2945, fig|6666666.5373.peg.3636, fig|6666666.5373.peg.2944
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamin ABC transporter, ATPase component	fig|6666666.5373.peg.1404, fig|6666666.5373.peg.1403
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiazole biosynthesis protein ThiG	fig|6666666.5373.peg.2942
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamine-monophosphate kinase (EC 2.7.4.16)	fig|6666666.5373.peg.6427
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Phosphomethylpyrimidine kinase (EC 2.7.4.7)	fig|6666666.5373.peg.1423
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamin ABC transporter, substrate-binding component	fig|6666666.5373.peg.2680, fig|6666666.5373.peg.2679
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamine kinase (EC 2.7.1.89)	fig|6666666.5373.peg.1470
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamin biosynthesis protein ThiC	fig|6666666.5373.peg.3631, fig|6666666.5373.peg.3634, fig|6666666.5373.peg.3632, fig|6666666.5373.peg.3633
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	fig|6666666.5373.peg.3635
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamin ABC transporter, transmembrane component	fig|6666666.5373.peg.2682, fig|6666666.5373.peg.2681, fig|6666666.5373.peg.2683, fig|6666666.5373.peg.1402
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiazole biosynthesis protein ThiH	fig|6666666.5373.peg.734, fig|6666666.5373.peg.735
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Hydroxyethylthiazole kinase (EC 2.7.1.50)	fig|6666666.5373.peg.1517
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Sulfur carrier protein ThiS	fig|6666666.5373.peg.2943
