PFAM_ID	Description	Present_in_these_samples
PF00004	AAA	TY2482.pfam,TY2482_hiseq.pfam,LB226692.pfam,Escherichia_coli_W_uid48011.pfam,Escherichia_coli_SE11_uid18057.pfam,Escherichia_coli_KO11_uid33875.pfam,Escherichia_coli_IAI1_uid33373.pfam,Escherichia_coli_E24377A_uid13960.pfam,Escherichia_coli_55989_uid33413.pfam,
PF00005	ABC_tran	TY2482.pfam,TY2482_hiseq.pfam,LB226692.pfam,Escherichia_coli_W_uid48011.pfam,Escherichia_coli_SE11_uid18057.pfam,Escherichia_coli_KO11_uid33875.pfam,Escherichia_coli_IAI1_uid33373.pfam,Escherichia_coli_E24377A_uid13960.pfam,Escherichia_coli_55989_uid33413.pfam,
PF00006	ATP-synt_ab	TY2482.pfam,TY2482_hiseq.pfam,LB226692.pfam,Escherichia_coli_W_uid48011.pfam,Escherichia_coli_SE11_uid18057.pfam,Escherichia_coli_KO11_uid33875.pfam,Escherichia_coli_IAI1_uid33373.pfam,Escherichia_coli_E24377A_uid13960.pfam,Escherichia_coli_55989_uid33413.pfam,
PF00009	GTP_EFTU	TY2482.pfam,TY2482_hiseq.pfam,LB226692.pfam,Escherichia_coli_W_uid48011.pfam,Escherichia_coli_SE11_uid18057.pfam,Escherichia_coli_KO11_uid33875.pfam,Escherichia_coli_IAI1_uid33373.pfam,Escherichia_coli_E24377A_uid13960.pfam,Escherichia_coli_55989_uid33413.pfam,
PF00011	HSP20	TY2482.pfam,TY2482_hiseq.pfam,LB226692.pfam,Escherichia_coli_W_uid48011.pfam,Escherichia_coli_SE11_uid18057.pfam,Escherichia_coli_KO11_uid33875.pfam,Escherichia_coli_IAI1_uid33373.pfam,Escherichia_coli_E24377A_uid13960.pfam,Escherichia_coli_55989_uid33413.pfam,
PF00012	HSP70	TY2482.pfam,TY2482_hiseq.pfam,LB226692.pfam,Escherichia_coli_W_uid48011.pfam,Escherichia_coli_SE11_uid18057.pfam,Escherichia_coli_KO11_uid33875.pfam,Escherichia_coli_IAI1_uid33373.pfam,Escherichia_coli_E24377A_uid13960.pfam,Escherichia_coli_55989_uid33413.pfam,
PF00013	KH_1	TY2482.pfam,TY2482_hiseq.pfam,LB226692.pfam,Escherichia_coli_W_uid48011.pfam,Escherichia_coli_SE11_uid18057.pfam,Escherichia_coli_KO11_uid33875.pfam,Escherichia_coli_IAI1_uid33373.pfam,Escherichia_coli_E24377A_uid13960.pfam,Escherichia_coli_55989_uid33413.pfam,
PF00015	MCPsignal	TY2482.pfam,TY2482_hiseq.pfam,LB226692.pfam,Escherichia_coli_W_uid48011.pfam,Escherichia_coli_SE11_uid18057.pfam,Escherichia_coli_KO11_uid33875.pfam,Escherichia_coli_IAI1_uid33373.pfam,Escherichia_coli_E24377A_uid13960.pfam,Escherichia_coli_55989_uid33413.pfam,
PF00023	Ank	TY2482.pfam,TY2482_hiseq.pfam,LB226692.pfam,Escherichia_coli_W_uid48011.pfam,Escherichia_coli_SE11_uid18057.pfam,Escherichia_coli_KO11_uid33875.pfam,Escherichia_coli_IAI1_uid33373.pfam,Escherichia_coli_E24377A_uid13960.pfam,Escherichia_coli_55989_uid33413.pfam,
PF00027	cNMP_binding	TY2482.pfam,TY2482_hiseq.pfam,LB226692.pfam,Escherichia_coli_W_uid48011.pfam,Escherichia_coli_SE11_uid18057.pfam,Escherichia_coli_KO11_uid33875.pfam,Escherichia_coli_IAI1_uid33373.pfam,Escherichia_coli_E24377A_uid13960.pfam,Escherichia_coli_55989_uid33413.pfam,
