Contigs to reverse
type	label	contig	strand	left_end	right_end
contig	86	chromosome	forward	2752241	2755576


Ordered Contigs
type	label	contig	strand	left_end	right_end
contig	43	chromosome	complement	1	87880
contig	103	chromosome	forward	87881	88125
contig	24	chromosome	complement	88126	118723
contig	401	chromosome	complement	118724	119685
contig	423	chromosome	complement	119686	121011
contig	179	chromosome	forward	121012	130988
contig	69	chromosome	forward	130989	159413
contig	13	chromosome	forward	159414	189933
contig	492	chromosome	complement	189934	202018
contig	494	chromosome	forward	202019	216729
contig	192	chromosome	forward	216730	217229
contig	343	chromosome	complement	217230	217665
contig	200	chromosome	complement	217666	217904
contig	158	chromosome	forward	217905	218334
contig	237	chromosome	complement	218335	219590
contig	276	chromosome	forward	219591	220129
contig	101	chromosome	forward	220130	220997
contig	410	chromosome	forward	220998	222078
contig	39	chromosome	forward	222079	275432
contig	31	chromosome	complement	275433	332916
contig	489	chromosome	forward	332917	343752
contig	3	chromosome	complement	343753	402376
contig	29	chromosome	forward	402377	485005
contig	464	chromosome	forward	485006	489109
contig	201	chromosome	complement	489110	490285
contig	320	chromosome	complement	490286	490629
contig	477	chromosome	complement	490630	497292
contig	392	chromosome	forward	497293	498123
contig	486	chromosome	forward	498124	507717
contig	108	chromosome	complement	507718	512403
contig	457	chromosome	complement	512404	515719
contig	385	chromosome	forward	515720	516455
contig	188	chromosome	complement	516456	518183
contig	189	chromosome	forward	518184	520275
contig	375	chromosome	forward	520276	520948
contig	422	chromosome	complement	520949	522246
contig	143	chromosome	forward	522247	523929
contig	436	chromosome	complement	523930	525641
contig	175	chromosome	complement	525642	526810
contig	6	chromosome	forward	526811	527433
contig	7	chromosome	complement	527434	528623
contig	447	chromosome	complement	528624	530868
contig	159	chromosome	forward	530869	531965
contig	307	chromosome	complement	531966	532245
contig	357	chromosome	complement	532246	532782
contig	440	chromosome	complement	532783	534842
contig	213	chromosome	complement	534843	535222
contig	150	chromosome	forward	535223	536461
contig	432	chromosome	complement	536462	537990
contig	140	chromosome	forward	537991	539325
contig	110	chromosome	forward	539326	540355
contig	297	chromosome	complement	540356	540599
contig	190	chromosome	complement	540600	541815
contig	413	chromosome	complement	541816	542909
contig	112	chromosome	complement	542910	572332
contig	176	chromosome	complement	572333	582496
contig	96	chromosome	complement	582497	596013
contig	491	chromosome	forward	596014	607736
contig	25	chromosome	forward	607737	608361
contig	474	chromosome	forward	608362	614660
contig	472	chromosome	forward	614661	620387
contig	90	chromosome	forward	620388	621076
contig	50	chromosome	forward	621077	632721
contig	485	chromosome	forward	632722	641421
contig	409	chromosome	forward	641422	642494
contig	335	chromosome	complement	642495	642891
contig	18	chromosome	forward	642892	645775
contig	339	chromosome	forward	645776	646195
contig	394	chromosome	forward	646196	647046
contig	406	chromosome	forward	647047	648084
contig	72	chromosome	forward	648085	671057
contig	44	chromosome	complement	671058	804315
contig	310	chromosome	complement	804316	804619
contig	165	chromosome	complement	804620	805048
contig	497	chromosome	forward	805049	821493
contig	509	chromosome	complement	821494	860467
contig	355	chromosome	complement	860468	860992
contig	407	chromosome	complement	860993	862035
contig	416	chromosome	forward	862036	863179
contig	399	chromosome	forward	863180	864074
contig	114	chromosome	forward	864075	864742
contig	387	chromosome	complement	864743	865488
contig	460	chromosome	complement	865489	869025
contig	426	chromosome	forward	869026	870437
contig	452	chromosome	forward	870438	872879
contig	321	chromosome	complement	872880	873225
contig	386	chromosome	complement	873226	873965
contig	418	chromosome	forward	873966	875130
contig	411	chromosome	complement	875131	876221
contig	38	chromosome	forward	876222	1030315
contig	499	chromosome	forward	1030316	1047067
contig	463	chromosome	complement	1047068	1050963
contig	78	chromosome	complement	1050964	1055084
contig	26	chromosome	forward	1055085	1055841
contig	134	chromosome	complement	1055842	1056860
contig	80	chromosome	forward	1056861	1058675
contig	507	chromosome	forward	1058676	1096181
contig	141	chromosome	forward	1096182	1097332
contig	45	chromosome	complement	1097333	1180708
contig	430	chromosome	complement	1180709	1182203
contig	347	chromosome	forward	1182204	1182646
contig	395	chromosome	forward	1182647	1183499
contig	431	chromosome	forward	1183500	1185000
contig	404	chromosome	forward	1185001	1185972
contig	439	chromosome	complement	1185973	1188031
contig	358	chromosome	forward	1188032	1188563
contig	308	chromosome	forward	1188564	1188843
contig	446	chromosome	forward	1188844	1191082
contig	306	chromosome	complement	1191083	1191348
contig	442	chromosome	forward	1191349	1193436
contig	412	chromosome	complement	1193437	1194529
contig	421	chromosome	forward	1194530	1195827
contig	376	chromosome	complement	1195828	1196496
contig	435	chromosome	forward	1196497	1198132
contig	372	chromosome	forward	1198133	1198751
contig	384	chromosome	complement	1198752	1199487
contig	443	chromosome	forward	1199488	1201593
contig	425	chromosome	forward	1201594	1202978
contig	58	chromosome	forward	1202979	1204539
contig	231	chromosome	forward	1204540	1204837
